created_date,product,campaign_name,clicks,cost,leads,prospect,funding,NTF,campaign
2022-09-07,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-08,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-09,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-12,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-13,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-15,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-16,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-19,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-20,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,,1.0,317042000.0,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-21,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-22,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-23,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,4.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-24,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-26,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-27,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-28,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,1.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-29,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
2022-09-30,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,,1.0,219802000.0,Sertifikat Rumah # Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time
