source,product,metrics,campaign,ad_name,adset_name,date,actual,forecast,baseline
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-24,,13.196767191707636,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-25,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-26,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-27,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-28,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-29,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-30,25.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-01,51.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-02,62.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-03,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-04,54.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-05,66.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-06,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-07,42.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-08,70.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-09,49.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-10,53.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-11,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-12,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-13,49.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-14,44.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-15,61.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-16,78.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-17,63.0,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-18,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-19,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-20,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-21,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-22,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-23,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-24,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-25,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-26,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-27,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-28,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-29,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-30,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-05-31,,0.0,
